Date,ADANIENT_Open,ADANIENT_High,ADANIENT_Low,ADANIENT_Close,ADANIENT_Volume
2023-10-05,2477,2486,2446,2466,1132455
2023-10-06,2466,2514,2466,2478,1510035
2023-10-09,2440,2459,2411,2442,1408224
2023-10-10,2443,2517,2443,2498,1771910
2023-10-11,2533,2538,2482,2488,1627836
2023-10-12,2499,2521,2490,2506,1804818
2023-10-13,2488,2495,2422,2454,2278682
