Date,ADANIENT_Open,ADANIENT_High,ADANIENT_Low,ADANIENT_Close,ADANIENT_Volume
2023-10-16,2454,2464,2421,2429,803856
2023-10-17,2459,2462,2423,2428,707543
2023-10-18,2440,2441,2401,2406,776977
2023-10-19,2400,2414,2382,2402,1168822
2023-10-20,2398,2443,2382,2393,1240350
2023-10-23,2397,2412,2301,2308,1483549
2023-10-25,2320,2348,2235,2257,1540819
