Date,ADANIENT_Open,ADANIENT_High,ADANIENT_Low,ADANIENT_Close,ADANIENT_Volume
2023-07-14,2375,2385,2340,2376,1353535
2023-07-17,2399,2459,2391,2408,3090373
2023-07-18,2415,2510,2405,2416,5978272
2023-07-19,2428,2443,2416,2423,1637260
2023-07-20,2428,2433,2400,2419,1564275
2023-07-21,2410,2457,2395,2416,2280563
2023-07-24,2430,2439,2412,2418,1113193
