Date,ADANIENT_Open,ADANIENT_High,ADANIENT_Low,ADANIENT_Close,ADANIENT_Volume
2023-09-25,2479,2489,2424,2482,1216898
2023-09-26,2491,2499,2452,2457,698863
2023-09-27,2460,2498,2445,2483,1077373
2023-09-28,2489,2511,2446,2475,2225560
2023-09-29,2462,2479,2405,2413,1689201
2023-10-03,2418,2424,2372,2387,2019899
2023-10-04,2402,2502,2392,2464,2857377
